,titlePaper,citationChicago,citations,link,publishedYear,publishedMonth,locationStudy,gpsLat,gpsLong,monthsLapsed,radius,red,green,blue
0,Three-dimensional Bioprinting of Thick Vascularized Tissues,"Kolesky, David B., Kimberly A. Homan, Mark A. Skylar-Scott, and Jennifer A. Lewis. ""Three-dimensional bioprinting of thick vascularized tissues."" Proceedings of the national academy of sciences 113, no. 12 (2016): 3179-3184.",944,https://pubmed.ncbi.nlm.nih.gov/26951646/,2016,3,"Wyss Institute for Biologically Inspired Engineering, Harvard University, Cambridge",42.33969432,-71.10301259,68,769.3382352941177,0.0,0.0,0.0
18,In Vivo Chondrogenesis in 3D Bioprinted Human Cell-laden Hydrogel Constructs,"Möller, Thomas, Matteo Amoroso, Daniel Hägg, Camilla Brantsing, Nicole Rotter, Peter Apelgren, Anders Lindahl, Lars Kölby, and Paul Gatenholm. ""In vivo chondrogenesis in 3D bioprinted human cell-laden hydrogel constructs."" Plastic and reconstructive surgery global open 5, no. 2 (2017).",82,https://pubmed.ncbi.nlm.nih.gov/28280669/,2017,2,"Chalmers University of Technology, Göteborg, Sweden",57.69000654,11.97583537,57,5.0,0.027,0.027,0.027
19,Self-Healing and Thermoresponsive Dual-Cross-Linked Alginate Hydrogels Based on Supramolecular Inclusion Complexes,"Miao, Tianxin, Spencer L. Fenn, Patrick N. Charron, and Rachael A. Oldinski. ""Self-healing and thermoresponsive dual-cross-linked alginate hydrogels based on supramolecular inclusion complexes."" Biomacromolecules 16, no. 12 (2015): 3740-3750.",79,https://pubmed.ncbi.nlm.nih.gov/26509214/,2015,10,"University of Vermont, Burlington, Vermont",44.47801354,-73.19652808,73,92.67123287671232,0.8872,0.8872,0.8872
28,Substrate Stress-Relaxation Regulates Scaffold Remodeling and Bone Formation In Vivo,"Darnell, Max, Simon Young, Luo Gu, Nisarg Shah, Evi Lippens, James Weaver, Georg Duda, and David Mooney. ""Substrate stress‐relaxation regulates scaffold remodeling and bone formation in vivo."" Advanced healthcare materials 6, no. 1 (2017): 1601185.",78,https://pubmed.ncbi.nlm.nih.gov/27995768/,2017,1,"Berlin-Brandenburg Center for Regenerative Therapies, 13353, Berlin, Germany",52.54027297,13.34835895,58,11.810344827586206,0.9632,0.9632,0.9632
27,Substrate Stress-Relaxation Regulates Scaffold Remodeling and Bone Formation In Vivo,"Darnell, Max, Simon Young, Luo Gu, Nisarg Shah, Evi Lippens, James Weaver, Georg Duda, and David Mooney. ""Substrate stress‐relaxation regulates scaffold remodeling and bone formation in vivo."" Advanced healthcare materials 6, no. 1 (2017): 1601185.",78,https://pubmed.ncbi.nlm.nih.gov/27995768/,2017,1,"Harvard University, Cambridge, MA",42.37766832,-71.11249735,58,11.810344827586206,0.9932,0.9932,0.9932
20,Development and Characterization of a Naturally Derived Lung Extracellular Matrix Hydrogel,"Pouliot, Robert A., Patrick A. Link, Nabil S. Mikhaiel, Matthew B. Schneck, Michael S. Valentine, Franck J. Kamga Gninzeko, Joseph A. Herbert, Masahiro Sakagami, and Rebecca L. Heise. ""Development and characterization of a naturally derived lung extracellular matrix hydrogel."" Journal of biomedical materials research Part A 104, no. 8 (2016): 1922-1935.",78,https://pubmed.ncbi.nlm.nih.gov/27012815/,2016,4,"Virginia Commonwealth University, Richmond, Virginia",37.54837993,-77.45675749,67,63.95522388059702,0.8572,0.8572,0.8572
37,Enhanced Immunosuppression of T Cells by Sustained Presentation of Bioactive Interferon-γ Within Three-dimensional Mesenchymal Stem Cell Constructs,"Zimmermann, Joshua A., Marian H. Hettiaratchi, and Todd C. McDevitt. ""Enhanced immunosuppression of T cells by sustained presentation of bioactive interferon‐γ within three‐dimensional mesenchymal stem cell constructs."" Stem cells translational medicine 6, no. 1 (2017): 223-237.",67,https://pubmed.ncbi.nlm.nih.gov/28170190/,2017,1,"Gladstone Institute of Cardiovascular Disease, San Francisco, California, USA",37.76859569,-122.3927825,58,10.862068965517242,0.8932,0.8932,0.8932
36,Enhanced Immunosuppression of T Cells by Sustained Presentation of Bioactive Interferon-γ Within Three-dimensional Mesenchymal Stem Cell Constructs,"Zimmermann, Joshua A., Marian H. Hettiaratchi, and Todd C. McDevitt. ""Enhanced immunosuppression of T cells by sustained presentation of bioactive interferon‐γ within three‐dimensional mesenchymal stem cell constructs."" Stem cells translational medicine 6, no. 1 (2017): 223-237.",67,https://pubmed.ncbi.nlm.nih.gov/28170190/,2017,1,"Georgia Institute of Technology, Atlanta, Georgia",33.77841125,-84.39839541,58,10.862068965517242,0.8732,0.8732,0.8732
44,A Prodrug-doped Cellular Trojan Horse for the Potential Treatment of Prostate Cancer,"Levy, Oren, W. Nathaniel Brennen, Edward Han, David Marc Rosen, Juliet Musabeyezu, Helia Safaee, Sudhir Ranganath et al. ""A prodrug-doped cellular Trojan Horse for the potential treatment of prostate cancer."" Biomaterials 91 (2016): 140-150.",55,https://www.sciencedirect.com/science/article/abs/pii/S0142961216300448,2016,6,"Center for Regenerative Therapeutics, Brigham and Women's Hospital,",42.33636357,-71.1072346,65,39.46153846153847,0.9992,0.9992,0.9992
46,A Prodrug-doped Cellular Trojan Horse for the Potential Treatment of Prostate Cancer,"Levy, Oren, W. Nathaniel Brennen, Edward Han, David Marc Rosen, Juliet Musabeyezu, Helia Safaee, Sudhir Ranganath et al. ""A prodrug-doped cellular Trojan Horse for the potential treatment of prostate cancer."" Biomaterials 91 (2016): 140-150.",55,https://www.sciencedirect.com/science/article/abs/pii/S0142961216300448,2016,6,"The Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins, United States",39.31829991,-76.66145636,65,39.46153846153847,0.9272,0.9272,0.9272
45,A Prodrug-doped Cellular Trojan Horse for the Potential Treatment of Prostate Cancer,"Levy, Oren, W. Nathaniel Brennen, Edward Han, David Marc Rosen, Juliet Musabeyezu, Helia Safaee, Sudhir Ranganath et al. ""A prodrug-doped cellular Trojan Horse for the potential treatment of prostate cancer."" Biomaterials 91 (2016): 140-150.",55,https://www.sciencedirect.com/science/article/abs/pii/S0142961216300448,2016,6,"Harvard Medical School, United States",42.33581759,-71.1039533,65,39.46153846153847,0.9192,0.9192,0.9192
47,A Prodrug-doped Cellular Trojan Horse for the Potential Treatment of Prostate Cancer,"Levy, Oren, W. Nathaniel Brennen, Edward Han, David Marc Rosen, Juliet Musabeyezu, Helia Safaee, Sudhir Ranganath et al. ""A prodrug-doped cellular Trojan Horse for the potential treatment of prostate cancer."" Biomaterials 91 (2016): 140-150.",55,https://www.sciencedirect.com/science/article/abs/pii/S0142961216300448,2016,6,The Samuel Oschin Comprehensive Cancer Institute at the Cedars-Sinai Medical Center,34.07558055,-118.3795624,65,39.46153846153847,0.9932,0.9932,0.9932
49,Synthesis and Biological Evaluation of Well-Defined Poly(propylene fumarate) Oligomers and Their Use in 3D Printed Scaffolds,"Luo, Yuanyuan, Courtney K. Dolder, Jason M. Walker, Ruchi Mishra, David Dean, and Matthew L. Becker. ""Synthesis and biological evaluation of well-defined poly (propylene fumarate) oligomers and their use in 3D printed scaffolds."" Biomacromolecules 17, no. 2 (2016): 690-697.",55,https://pubmed.ncbi.nlm.nih.gov/26771388/,2016,2,"The Ohio State University , Columbus, Ohio",40.00726366,-83.02929592,69,53.69565217391305,0.093,0.093,0.093
48,Synthesis and Biological Evaluation of Well-Defined Poly(propylene fumarate) Oligomers and Their Use in 3D Printed Scaffolds,"Luo, Yuanyuan, Courtney K. Dolder, Jason M. Walker, Ruchi Mishra, David Dean, and Matthew L. Becker. ""Synthesis and biological evaluation of well-defined poly (propylene fumarate) oligomers and their use in 3D printed scaffolds."" Biomacromolecules 17, no. 2 (2016): 690-697.",55,https://pubmed.ncbi.nlm.nih.gov/26771388/,2016,2,"University of Akron , Akron, Ohio",41.08120212,-81.52079457,69,53.69565217391305,0.0,0.0,0.0
60,Serum-free media formulations are cell line-specific and require optimization for microcarrier culture,"Tan, Kah Yong, Kim Leng Teo, Jessica FY Lim, Allen KL Chen, Shaul Reuveny, and Steve KW Oh. ""Serum-free media formulations are cell line–specific and require optimization for microcarrier culture."" Cytotherapy 17, no. 8 (2015): 1152-1165.",47,https://pubmed.ncbi.nlm.nih.gov/26139547/,2015,8,"Agency for Science, Technology and Research (A*STAR), Centros, Singapore",1.299109174,103.7875007,75,62.599999999999994,0.9812,0.9812,0.9812
73,Dynamic Bioreactor Culture of High Volume Engineered Bone Tissue,"Nguyen, Bao-Ngoc B., Henry Ko, Rebecca A. Moriarty, Julie M. Etheridge, and John P. Fisher. ""Dynamic bioreactor culture of high volume engineered bone tissue."" Tissue Engineering Part A 22, no. 3-4 (2016): 263-271.",35,https://pubmed.ncbi.nlm.nih.gov/26653703/,2016,2,"University of Maryland, College Park, Maryland",38.98755177,-76.94379888,69,36.30434782608695,0.024,0.024,0.024
72,Collagen Type Ii Enhances Chondrogenic Differentiation in Agarose-based Modular Microtissues,"Annamalai, Ramkumar Tiruvannamalai, David R. Mertz, Ethan LH Daley, and Jan P. Stegemann. ""Collagen Type II enhances chondrogenic differentiation in agarose-based modular microtissues."" Cytotherapy 18, no. 2 (2016): 263-277.",35,https://pubmed.ncbi.nlm.nih.gov/26794716/,2016,2,"University of Michigan, Ann Arbor, Michigan",42.27845605,-83.73680793,69,36.30434782608695,0.0,0.0,0.0
107,3D Printed Vascular Networks Enhance Viability in High-Volume Perfusion Bioreactor,"Ball, Owen, Bao-Ngoc B. Nguyen, Jesse K. Placone, and John P. Fisher. ""3D printed vascular networks enhance viability in high-volume perfusion bioreactor."" Annals of biomedical engineering 44, no. 12 (2016): 3435-3445.",26,https://pubmed.ncbi.nlm.nih.gov/27272210/,2016,12,"University of Maryland, College Park, MD",38.98758512,-76.94388471,59,9.576271186440678,0.0,0.0,0.0
