,count,titlePaper,citationChicago,citations,link,publishedYear,publishedMonth,locationStudy,"gpsLat, gpsLong",gpsLat,gpsLong,monthsLapsed,radius,red,green,blue
83,53,Three-dimensional Bioprinting of Thick Vascularized Tissues,"Kolesky, David B., Kimberly A. Homan, Mark A. Skylar-Scott, and Jennifer A. Lewis. ""Three-dimensional bioprinting of thick vascularized tissues."" Proceedings of the national academy of sciences 113, no. 12 (2016): 3179-3184.",944.0,https://pubmed.ncbi.nlm.nih.gov/26951646/,2016.0,3.0,"Wyss Institute for Biologically Inspired Engineering, Harvard University, Cambridge","42.339694322146094, -71.10301258865704",42.33969432,-71.10301259,66,2367.5,0.051,0.051,0.051
131,85,Mesenchymal Stromal Cell Exosomes Ameliorate Experimental Bronchopulmonary Dysplasia and Restore Lung Function through Macrophage Immunomodulation,"Willis, Gareth R., Angeles Fernandez-Gonzalez, Jamie Anastas, Sally H. Vitali, Xianlan Liu, Maria Ericsson, April Kwong, S. Alex Mitsialis, and Stella Kourembanas. ""Mesenchymal stromal cell exosomes ameliorate experimental bronchopulmonary dysplasia and restore lung function through macrophage immunomodulation."" American journal of respiratory and critical care medicine 197, no. 1 (2018): 104-116.",285.0,https://pubmed.ncbi.nlm.nih.gov/28853608/,2018.0,1.0,"Harvard Medical School, Boston, Massachusetts","42.336078995187044, -71.1013891363389",42.336079,-71.10138914,44,362.5,0.0,0.0,0.0
356,179,Morphological Features of IFN-γ-stimulated Mesenchymal Stromal Cells Predict Overall Immunosuppressive Capacity,"Klinker, Matthew W., Ross A. Marklein, Jessica L. Lo Surdo, Cheng-Hong Wei, and Steven R. Bauer. ""Morphological features of IFN-γ–stimulated mesenchymal stromal cells predict overall immunosuppressive capacity."" Proceedings of the National Academy of Sciences 114, no. 13 (2017): E2598-E2607.",104.0,https://pubmed.ncbi.nlm.nih.gov/28283659/,2017.0,3.0,"US Food and Drug Administration, Silver Spring, MD","39.03589836414965, -76.98208346701595",39.03589836,-76.98208347,54,209.16666666666669,0.9652,0.9652,0.9652
112,73,Extracellular Vesicles as Emerging Targets in Cancer: Recent Development From Bench to Bedside,"Wu, Kerui, Fei Xing, Shih-Ying Wu, and Kounosuke Watabe. ""Extracellular vesicles as emerging targets in cancer: Recent development from bench to bedside."" Biochimica et Biophysica Acta (BBA)-Reviews on Cancer 1868, no. 2 (2017): 538-563.",89.0,https://pubmed.ncbi.nlm.nih.gov/29054476/,2017.0,12.0,"Wake Forest University School of Medicine, Winston Salem, NC","36.10086540518672, -80.23891346846821",36.10086541,-80.23891347,45,125.0,0.0,0.0,0.0
349,173,In Vivo Chondrogenesis in 3D Bioprinted Human Cell-laden Hydrogel Constructs,"Möller, Thomas, Matteo Amoroso, Daniel Hägg, Camilla Brantsing, Nicole Rotter, Peter Apelgren, Anders Lindahl, Lars Kölby, and Paul Gatenholm. ""In vivo chondrogenesis in 3D bioprinted human cell-laden hydrogel constructs."" Plastic and reconstructive surgery global open 5, no. 2 (2017).",82.0,https://pubmed.ncbi.nlm.nih.gov/28280669/,2017.0,2.0,"Chalmers University of Technology, Göteborg, Sweden","57.69000654408466, 11.975835373930986",57.69000654,11.97583537,55,170.99999999999997,0.0,0.0,0.0
5,4,Stem cell-inspired secretome-rich injectable hydrogel to repair injured cardiac tissue,0,82.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5831493/,2017.0,12.0,"University of Kansas, Lawrence, KS","38.95441062542247, -95.25538840652833",38.95441063,-95.25538841,45,115.66666666666666,0.069,0.069,0.069
6,4,Stem cell-inspired secretome-rich injectable hydrogel to repair injured cardiac tissue,0,82.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5831493/,2017.0,12.0,"University of Cincinnati, Cincinnati, OH","39.133030067758874, -84.51478946974734",39.13303007,-84.51478947,45,115.66666666666666,0.039,0.039,0.039
13,10,Self-Healing and Thermoresponsive Dual-Cross-Linked Alginate Hydrogels Based on Supramolecular Inclusion Complexes,"Miao, Tianxin, Spencer L. Fenn, Patrick N. Charron, and Rachael A. Oldinski. ""Self-healing and thermoresponsive dual-cross-linked alginate hydrogels based on supramolecular inclusion complexes."" Biomacromolecules 16, no. 12 (2015): 3740-3750.",79.0,https://pubmed.ncbi.nlm.nih.gov/26509214/,2015.0,10.0,"University of Vermont, Burlington, Vermont","44.47801353909452, -73.19652807512038",44.47801354,-73.19652808,71,219.0845070422535,0.9832,0.9832,0.9832
346,171,Substrate Stress-Relaxation Regulates Scaffold Remodeling and Bone Formation In Vivo,"Darnell, Max, Simon Young, Luo Gu, Nisarg Shah, Evi Lippens, James Weaver, Georg Duda, and David Mooney. ""Substrate stress‐relaxation regulates scaffold remodeling and bone formation in vivo."" Advanced healthcare materials 6, no. 1 (2017): 1601185.",78.0,https://pubmed.ncbi.nlm.nih.gov/27995768/,2017.0,1.0,"Harvard University, Cambridge, MA","42.37766832129075, -71.11249734540112",42.37766832,-71.11249735,56,167.2321428571429,0.9052,0.9052,0.9052
372,189,Development and Characterization of a Naturally Derived Lung Extracellular Matrix Hydrogel,"Pouliot, Robert A., Patrick A. Link, Nabil S. Mikhaiel, Matthew B. Schneck, Michael S. Valentine, Franck J. Kamga Gninzeko, Joseph A. Herbert, Masahiro Sakagami, and Rebecca L. Heise. ""Development and characterization of a naturally derived lung extracellular matrix hydrogel."" Journal of biomedical materials research Part A 104, no. 8 (2016): 1922-1935.",78.0,https://pubmed.ncbi.nlm.nih.gov/27012815/,2016.0,4.0,"Virginia Commonwealth University, Richmond, Virginia","37.54837992835051, -77.45675749334877",37.54837993,-77.45675749,65,199.46153846153845,0.8712,0.8712,0.8712
